record_id,datetime,creation_status_code,metadata_status_code,file_upload_status_code,file_which_caused_problem
513,"24/11/2022 09:58:26",201,200,,
514,"24/11/2022 09:58:38",201,200,,
515,"24/11/2022 09:58:50",201,200,,
516,"24/11/2022 09:59:14",201,200,,
517,"24/11/2022 09:59:29",201,200,,
518,"24/11/2022 09:59:41",201,200,,
519,"24/11/2022 09:59:52",201,200,,
520,"24/11/2022 10:00:19",201,200,,
521,"24/11/2022 10:00:37",201,200,,
522,"24/11/2022 10:00:50",201,200,,
523,"24/11/2022 10:01:18",201,200,,
524,"24/11/2022 10:01:37",201,200,,
525,"24/11/2022 10:01:48",201,200,,
526,"24/11/2022 10:02:04",201,200,,
527,"24/11/2022 10:02:16",201,200,,
528,"24/11/2022 10:02:32",201,200,,
529,"24/11/2022 10:02:44",201,200,,
530,"24/11/2022 10:02:54",201,200,,
531,"24/11/2022 10:03:06",201,200,,
532,"24/11/2022 10:03:18",201,200,,
533,"24/11/2022 10:03:32",201,200,,
534,"24/11/2022 10:03:46",201,200,,
535,"24/11/2022 10:04:02",201,200,,
536,"24/11/2022 10:04:14",201,200,,
537,"24/11/2022 10:04:28",201,200,,
538,"24/11/2022 10:04:41",201,200,,
539,"24/11/2022 10:04:53",201,200,,
540,"24/11/2022 10:05:04",201,200,,
541,"24/11/2022 10:05:15",201,200,,
542,"24/11/2022 10:05:28",201,200,,
543,"24/11/2022 10:05:41",201,200,,
544,"24/11/2022 10:05:53",201,200,,
545,"24/11/2022 10:06:05",201,200,,
546,"24/11/2022 10:06:19",201,200,,
547,"24/11/2022 10:06:40",201,200,,
548,"24/11/2022 10:06:52",201,200,,
549,"24/11/2022 10:07:05",201,200,,
550,"24/11/2022 10:07:19",201,200,,
551,"24/11/2022 10:07:32",201,200,,
552,"24/11/2022 10:07:46",201,200,,
553,"24/11/2022 10:07:57",201,200,,
554,"24/11/2022 10:08:08",201,200,,
555,"24/11/2022 10:08:25",201,200,,
556,"24/11/2022 10:08:38",201,200,,
557,"24/11/2022 10:08:49",201,200,,
558,"24/11/2022 10:09:01",201,200,,
559,"24/11/2022 10:12:16",201,200,,
560,"24/11/2022 10:12:26",201,200,,
561,"24/11/2022 10:12:36",201,200,,
562,"24/11/2022 10:12:47",201,200,,
563,"24/11/2022 10:12:58",201,200,,
564,"24/11/2022 10:13:08",201,200,,
565,"24/11/2022 10:13:19",201,200,,
566,"24/11/2022 10:13:30",201,200,,
567,"24/11/2022 10:13:39",201,200,,
568,"24/11/2022 10:13:49",201,200,,
569,"24/11/2022 10:14:01",201,200,,
570,"24/11/2022 10:14:14",201,200,,
571,"24/11/2022 10:14:24",201,200,,
572,"24/11/2022 10:14:35",201,200,,
573,"24/11/2022 10:14:46",201,200,,
574,"24/11/2022 10:14:59",201,200,,
575,"24/11/2022 10:15:11",201,200,,
576,"24/11/2022 10:15:22",201,200,,
577,"24/11/2022 10:15:36",201,200,,
578,"24/11/2022 10:15:52",201,200,,
579,"24/11/2022 10:16:05",201,200,,
580,"24/11/2022 10:16:26",201,200,,
581,"24/11/2022 10:16:40",201,200,,
582,"24/11/2022 10:16:51",201,200,,
583,"24/11/2022 10:17:05",201,200,,
584,"24/11/2022 10:17:19",201,200,,
585,"24/11/2022 10:17:32",201,200,,
586,"24/11/2022 10:17:43",201,200,,
587,"24/11/2022 10:17:58",201,200,,
588,"24/11/2022 10:18:22",201,200,,
589,"24/11/2022 10:18:37",201,200,,
590,"24/11/2022 10:18:55",201,200,,
591,"24/11/2022 10:19:09",201,200,,
592,"24/11/2022 10:19:24",201,200,,
593,"24/11/2022 10:19:38",201,200,,
594,"24/11/2022 10:19:52",201,200,,
595,"24/11/2022 10:20:05",201,200,,
596,"24/11/2022 10:20:17",201,200,,
597,"24/11/2022 10:20:26",201,200,,
598,"24/11/2022 10:20:37",201,200,,
599,"24/11/2022 10:20:49",201,200,,
600,"24/11/2022 10:21:03",201,200,,
601,"24/11/2022 10:21:15",201,200,,
602,"24/11/2022 10:21:25",201,200,,
603,"24/11/2022 10:21:39",201,200,,
604,"24/11/2022 10:21:49",201,200,,
605,"24/11/2022 10:22:03",201,200,,
606,"24/11/2022 10:22:16",201,200,,
607,"24/11/2022 10:22:29",201,200,,
608,"24/11/2022 10:22:40",201,200,,
609,"24/11/2022 10:22:59",201,200,,
610,"24/11/2022 10:23:14",201,200,,
611,"24/11/2022 10:23:27",201,200,,
612,"24/11/2022 10:23:38",201,200,,
613,"24/11/2022 10:23:59",201,200,,
614,"24/11/2022 10:24:15",201,200,,
615,"24/11/2022 10:24:26",201,200,,
616,"24/11/2022 10:24:41",201,200,,
617,"24/11/2022 10:24:58",201,200,,
618,"24/11/2022 10:25:14",201,200,,
619,"24/11/2022 10:25:27",201,200,,
620,"24/11/2022 10:25:43",201,200,,
621,"24/11/2022 10:25:53",201,200,,
622,"24/11/2022 10:26:04",201,200,,
623,"24/11/2022 10:26:16",201,200,,
624,"24/11/2022 10:26:29",201,200,,
625,"24/11/2022 10:26:46",201,200,,
626,"24/11/2022 10:26:59",201,200,,
627,"24/11/2022 10:27:09",201,200,,
628,"24/11/2022 10:27:21",201,200,,
629,"24/11/2022 10:27:31",201,200,,
630,"24/11/2022 10:27:42",201,200,,
631,"24/11/2022 10:27:54",201,200,,
632,"24/11/2022 10:28:04",201,200,,
633,"24/11/2022 10:28:16",201,200,,
634,"24/11/2022 10:28:26",201,200,,
635,"24/11/2022 10:28:37",201,200,,
636,"24/11/2022 10:28:47",201,200,,
637,"24/11/2022 10:28:58",201,200,,
638,"24/11/2022 10:29:08",201,200,,
639,"24/11/2022 10:29:18",201,200,,
640,"24/11/2022 10:29:27",201,200,,
641,"24/11/2022 10:29:38",201,200,,
642,"24/11/2022 10:29:49",201,200,,
643,"24/11/2022 10:29:59",201,200,,
644,"24/11/2022 10:30:08",201,200,,
645,"24/11/2022 10:30:19",201,200,,
646,"24/11/2022 10:30:29",201,200,,
647,"24/11/2022 10:30:39",201,200,,
648,"24/11/2022 10:30:51",201,200,,
649,"24/11/2022 10:31:01",201,200,,
650,"24/11/2022 10:31:12",201,200,,
651,"24/11/2022 10:31:24",201,200,,
652,"24/11/2022 10:31:38",201,200,,
653,"24/11/2022 10:31:48",201,200,,
654,"24/11/2022 10:31:58",201,200,,
655,"24/11/2022 10:32:08",201,200,,
656,"24/11/2022 10:32:19",201,200,,
657,"24/11/2022 10:32:29",201,200,,
658,"24/11/2022 10:32:39",201,200,,
659,"24/11/2022 10:32:49",201,200,,
660,"24/11/2022 10:33:00",201,200,,
661,"24/11/2022 10:33:11",201,200,,
662,"24/11/2022 10:33:22",201,200,,
663,"24/11/2022 10:33:32",201,200,,
664,"24/11/2022 10:33:43",201,200,,
665,"24/11/2022 10:33:54",201,200,,
666,"24/11/2022 10:34:05",201,200,,
667,"24/11/2022 10:34:15",201,200,,
668,"24/11/2022 10:34:28",201,200,,
669,"24/11/2022 10:34:38",201,200,,
670,"24/11/2022 10:34:49",201,200,,
671,"24/11/2022 10:35:00",201,200,,
672,"24/11/2022 10:35:11",201,200,,
673,"24/11/2022 10:35:21",201,200,,
674,"24/11/2022 10:35:31",201,200,,
675,"24/11/2022 10:35:43",201,200,,
676,"24/11/2022 10:35:53",201,200,,
677,"24/11/2022 10:36:06",201,200,,
678,"24/11/2022 10:36:18",201,200,,
679,"24/11/2022 10:36:30",201,200,,
680,"24/11/2022 10:36:43",201,200,,
681,"24/11/2022 10:36:58",201,200,,
682,"24/11/2022 10:37:13",201,200,,
683,"24/11/2022 10:37:32",201,200,,
684,"24/11/2022 10:37:46",201,200,,
685,"24/11/2022 10:37:59",201,200,,
686,"24/11/2022 10:38:10",201,200,,
687,"24/11/2022 10:38:22",201,200,,
688,"24/11/2022 10:38:33",201,200,,
689,"24/11/2022 10:38:45",201,200,,
690,"24/11/2022 10:38:55",201,200,,
691,"24/11/2022 10:39:07",201,200,,
692,"24/11/2022 10:39:19",201,200,,
693,"24/11/2022 10:39:30",201,200,,
694,"24/11/2022 10:39:42",201,200,,
695,"24/11/2022 10:39:53",201,200,,
696,"24/11/2022 10:40:03",201,200,,
697,"24/11/2022 10:40:14",201,200,,
698,"24/11/2022 10:40:25",201,200,,
699,"24/11/2022 10:40:39",201,200,,
700,"24/11/2022 10:40:49",201,200,,
701,"24/11/2022 10:41:00",201,200,,
702,"24/11/2022 10:41:12",201,200,,
703,"24/11/2022 10:41:24",201,200,,
704,"24/11/2022 10:41:41",201,200,,
705,"24/11/2022 10:41:52",201,200,,
706,"24/11/2022 10:42:02",201,200,,
707,"24/11/2022 10:42:12",201,200,,
708,"24/11/2022 10:42:22",201,200,,
709,"24/11/2022 10:42:32",201,200,,
710,"24/11/2022 10:42:42",201,200,,
711,"24/11/2022 10:42:53",201,200,,
712,"24/11/2022 10:43:04",201,200,,
713,"24/11/2022 10:43:15",201,200,,
714,"24/11/2022 10:43:24",201,200,,
715,"24/11/2022 10:43:36",201,200,,
716,"24/11/2022 10:43:46",201,200,,
717,"24/11/2022 10:43:58",201,200,,
